id,title,summary,news_site,published_at,updated_at
34854,Europe's Ariane 6 rocket puts EU navigation satellites in orbit,"Kourou (AFP) Dec 17, 2025


 Europe's new Ariane 6 rocket successfully placed two satellites into orbit to join the EU's rival to the GPS navigation system on Wednesday after the mission blasted off from French Guiana. 

It was the fourth commercial mission of the Ariane 6 launch system since the long-delayed single-use rockets came into service last year. 

The rocket launched into cloudy skies from Europe's spaceport",SpaceDaily,2025-12-18T04:03:35Z,2025-12-18T10:05:36.965398Z
34842,"Northrop Grumman tests fast-developed SMART motor, looks ahead to future applications","Northrop Grumman Corporation (NGC), one of the largest space and defense contractors in the Unitedâ€¦
The post Northrop Grumman tests fast-developed SMART motor, looks ahead to future applications appeared first on NASASpaceFlight.com.",NASASpaceflight,2025-12-17T22:52:37Z,2025-12-17T23:00:18.441140Z
